,GENE,POS
2320,ENSG00000232542,"[97859710, 97885697]"
1884,ENSG00000142864,"[67873493, 67896098]"
4534,ENSG00000261453,"[208780445, 208785537]"
4841,ENSG00000228548,"[226856598, 226864046]"
3527,ENSG00000215846,"[159246293, 159247282]"
2983,ENSG00000203827,"[148739443, 148758311]"
116,ENSG00000179403,"[1370241, 1378262]"
5258,ENSG00000236775,"[247178370, 247180593]"
778,ENSG00000001461,"[24742284, 24799466]"
3137,ENSG00000143416,"[151336778, 151345209]"
2285,ENSG00000237416,"[95302304, 95320982]"
169,ENSG00000224387,"[2423739, 2424697]"
1023,ENSG00000121764,"[32083287, 32098119]"
5025,ENSG00000231663,"[234508553, 234509339]"
3608,ENSG00000232879,"[161004624, 161004796]"
1034,ENSG00000184007,"[32372022, 32410457]"
5358,ENSG00000171163,"[249144205, 249153343]"
3904,ENSG00000203739,"[173386932, 173430501]"
179,ENSG00000142606,"[2522078, 2564481]"
82,ENSG00000207730,"[1102484, 1102578]"
285,ENSG00000252254,"[8388127, 8388239]"
566,ENSG00000223643,"[17177752, 17179624]"
1045,ENSG00000224066,"[32670370, 32672415]"
5210,ENSG00000121644,"[244816237, 244872335]"
2374,ENSG00000224685,"[101117503, 101117823]"
3461,ENSG00000235700,"[157098154, 157098463]"
4857,ENSG00000235827,"[227693883, 227695993]"
4704,ENSG00000213033,"[220440048, 220441259]"
2512,ENSG00000168710,"[110527308, 110566357]"
28,ENSG00000236679,"[470971, 471355]"
5255,ENSG00000153207,"[247002400, 247095280]"
3406,ENSG00000196189,"[156117157, 156147543]"
3388,ENSG00000234937,"[155815158, 155816415]"
2773,ENSG00000269996,"[121133256, 121134581]"
662,ENSG00000233069,"[21059373, 21060445]"
1938,ENSG00000229956,"[71547007, 71955652]"
2850,ENSG00000268172,"[144989309, 144991365]"
779,ENSG00000117602,"[24829387, 24867530]"
4892,ENSG00000168148,"[228612546, 228613026]"
4394,ENSG00000202300,"[203288124, 203288227]"
4,ENSG00000268020,"[52473, 54936]"
4251,ENSG00000221879,"[197332947, 197333208]"
4176,ENSG00000225006,"[188477669, 188505596]"
1377,ENSG00000271647,"[44568978, 44570375]"
1271,ENSG00000084070,"[40810522, 40888998]"
3948,ENSG00000233946,"[175266216, 175266376]"
2346,ENSG00000162688,"[100315640, 100389579]"
473,ENSG00000253085,"[14022565, 14022694]"
1264,ENSG00000207508,"[40643515, 40643621]"
557,ENSG00000237847,"[16999498, 17000007]"
4627,ENSG00000198468,"[213025450, 213031430]"
4107,ENSG00000143344,"[183605220, 183897665]"
600,ENSG00000225478,"[18921908, 18922130]"
5020,ENSG00000232166,"[234420718, 234421287]"
608,ENSG00000272084,"[19398604, 19402005]"
4245,ENSG00000143278,"[197008321, 197036397]"
1073,ENSG00000134684,"[33240840, 33283754]"
1939,ENSG00000264239,"[71607658, 71607751]"
1005,ENSG00000237329,"[31509581, 31510087]"
2608,ENSG00000155380,"[113454469, 113499635]"
1827,ENSG00000244256,"[64121414, 64121716]"
1534,ENSG00000162374,"[50513686, 50669458]"
3427,ENSG00000260460,"[156479646, 156481473]"
1603,ENSG00000134748,"[52870236, 52886511]"
81,ENSG00000223823,"[1072397, 1079436]"
1794,ENSG00000200174,"[62677229, 62677338]"
2711,ENSG00000212266,"[118231243, 118231364]"
4743,ENSG00000143498,"[222731244, 222763275]"
2634,ENSG00000232895,"[114749049, 114804900]"
200,ENSG00000227372,"[3652548, 3663900]"
927,ENSG00000227050,"[28265386, 28286704]"
2101,ENSG00000223254,"[85729979, 85730085]"
2030,ENSG00000237413,"[78695283, 78835149]"
2027,ENSG00000213560,"[78557183, 78557738]"
1554,ENSG00000213478,"[51623460, 51624143]"
4826,ENSG00000234478,"[226335704, 226342772]"
5185,ENSG00000143702,"[243287730, 243418650]"
3603,ENSG00000198358,"[160902255, 160919712]"
1435,ENSG00000117448,"[46016215, 46035721]"
1238,ENSG00000243970,"[39997510, 40024379]"
1004,ENSG00000200181,"[31441011, 31441083]"
2025,ENSG00000213561,"[78509067, 78509832]"
1504,ENSG00000227947,"[48154135, 48169055]"
1579,ENSG00000230604,"[52325450, 52325807]"
3383,ENSG00000246203,"[155584517, 155630036]"
1727,ENSG00000187889,"[57184477, 57285369]"
1132,ENSG00000229994,"[35816323, 35817208]"
4229,ENSG00000237213,"[193725945, 193726397]"
3316,ENSG00000163239,"[154474695, 154520623]"
79,ENSG00000237330,"[1006346, 1009687]"
3913,ENSG00000200674,"[173760686, 173761025]"
5279,ENSG00000203664,"[247654370, 247655710]"
4597,ENSG00000212187,"[212198903, 212199024]"
33,ENSG00000223659,"[562757, 564390]"
5151,ENSG00000265831,"[241295572, 241295646]"
4557,ENSG00000232222,"[209960324, 209961038]"
1963,ENSG00000162621,"[74935562, 74978298]"
2287,ENSG00000235501,"[95393122, 95428826]"
3891,ENSG00000251943,"[172582568, 172582674]"
1422,ENSG00000264650,"[45499641, 45499692]"
1508,ENSG00000225028,"[48283738, 48285909]"
2717,ENSG00000222209,"[118806995, 118807112]"
3973,ENSG00000236720,"[177669659, 177679465]"
3397,ENSG00000273002,"[155948590, 155952777]"
4419,ENSG00000225522,"[204152134, 204152665]"
4824,ENSG00000270598,"[226314879, 226315047]"
1613,ENSG00000162378,"[53192126, 53293014]"
4625,ENSG00000236905,"[212997369, 212997847]"
2600,ENSG00000271810,"[113245236, 113254055]"
2784,ENSG00000203849,"[142620645, 142729967]"
5232,ENSG00000226876,"[246271928, 246277168]"
2289,ENSG00000230427,"[95527152, 95533101]"
1724,ENSG00000224980,"[57051285, 57051915]"
3257,ENSG00000189334,"[153586731, 153589462]"
2981,ENSG00000231267,"[148644011, 148644795]"
4832,ENSG00000236994,"[226505716, 226506394]"
3158,ENSG00000143450,"[151735445, 151743808]"
1159,ENSG00000231849,"[36707499, 36707757]"
3563,ENSG00000143315,"[159997462, 160001783]"
4584,ENSG00000228792,"[211809248, 211816209]"
836,ENSG00000265320,"[26398069, 26398168]"
5259,ENSG00000215796,"[247206093, 247207323]"
2537,ENSG00000259834,"[111196182, 111199662]"
1102,ENSG00000176256,"[34326076, 34330392]"
3503,ENSG00000186400,"[158548709, 158549689]"
1802,ENSG00000213703,"[63106793, 63107338]"
5105,ENSG00000116996,"[238045705, 238054094]"
3889,ENSG00000180999,"[172389828, 172437971]"
1074,ENSG00000116497,"[33282368, 33324476]"
3560,ENSG00000224259,"[159931008, 159948851]"
5291,ENSG00000169214,"[247875045, 247876105]"
1403,ENSG00000202031,"[45243515, 45243584]"
1891,ENSG00000116717,"[68150744, 68154021]"
2473,ENSG00000215717,"[109632425, 109639556]"
4554,ENSG00000009790,"[209929377, 209955668]"
2611,ENSG00000236066,"[113550876, 113589677]"
2573,ENSG00000200360,"[112032939, 112033045]"
1179,ENSG00000163874,"[37940153, 37949980]"
3269,ENSG00000143624,"[153700543, 153746555]"
4351,ENSG00000133067,"[202163029, 202288909]"
4357,ENSG00000272262,"[202379236, 202379335]"
2635,ENSG00000271419,"[114896608, 114897800]"
2610,ENSG00000226419,"[113499037, 113542118]"
3431,ENSG00000265960,"[156557648, 156557747]"
359,ENSG00000264181,"[11058233, 11058320]"
4040,ENSG00000206905,"[180488152, 180488255]"
58,ENSG00000234711,"[808672, 809729]"
2514,ENSG00000258634,"[110600962, 110605177]"
3782,ENSG00000221545,"[167967898, 167967964]"
433,ENSG00000232423,"[12998181, 13117751]"
4168,ENSG00000225462,"[187532193, 187533263]"
1256,ENSG00000236546,"[40363417, 40364770]"
3076,ENSG00000118292,"[150240600, 150253327]"
2257,ENSG00000223490,"[94386824, 94387223]"
4568,ENSG00000224668,"[211032519, 211035627]"
4171,ENSG00000223847,"[187683374, 187683866]"
1028,ENSG00000121753,"[32192718, 32230494]"
4049,ENSG00000232586,"[180918835, 180924023]"
1764,ENSG00000266150,"[60198899, 60198968]"
1777,ENSG00000263380,"[61549127, 61549202]"
2903,ENSG00000131791,"[146626685, 146644129]"
1273,ENSG00000187801,"[40915774, 40929390]"
4522,ENSG00000253044,"[207688630, 207688688]"
3689,ENSG00000225755,"[163207004, 163208987]"
2756,ENSG00000134249,"[120436156, 120439118]"
870,ENSG00000241188,"[27141313, 27141601]"
2161,ENSG00000237568,"[89726265, 89735437]"
1070,ENSG00000162520,"[33145507, 33169197]"
4767,ENSG00000143514,"[223967601, 224033674]"
2954,ENSG00000272824,"[147830374, 147830815]"
2804,ENSG00000225278,"[143211628, 143240439]"
544,ENSG00000080947,"[16793931, 16825752]"
4004,ENSG00000223794,"[179224868, 179225216]"
1370,ENSG00000132768,"[44435672, 44439041]"
3330,ENSG00000173207,"[154947129, 154951725]"
2543,ENSG00000261654,"[111478991, 111484975]"
4034,ENSG00000116260,"[180123969, 180173165]"
2569,ENSG00000199890,"[111989420, 111989530]"
4447,ENSG00000236108,"[205103774, 205104078]"
3052,ENSG00000261716,"[149816065, 149820591]"
799,ENSG00000261349,"[25592593, 25593627]"
958,ENSG00000120656,"[28915835, 28969597]"
1946,ENSG00000233994,"[72740235, 72740842]"
4846,ENSG00000143776,"[227177566, 227506175]"
623,ENSG00000201609,"[19837087, 19837227]"
1051,ENSG00000183615,"[32712834, 32714457]"
3191,ENSG00000186207,"[152483320, 152484653]"
4184,ENSG00000252553,"[189635279, 189635386]"
2529,ENSG00000134248,"[110943871, 110950564]"
545,ENSG00000206652,"[16840617, 16840780]"
2932,ENSG00000229952,"[147494090, 147498172]"
5078,ENSG00000237845,"[236105853, 236107105]"
4974,ENSG00000182118,"[231154704, 231175992]"
3202,ENSG00000159455,"[152647771, 152659877]"
2166,ENSG00000225492,"[89873238, 89891802]"
4571,ENSG00000223562,"[211355498, 211356446]"
4319,ENSG00000174307,"[201434620, 201438365]"
3294,ENSG00000143549,"[154127784, 154167124]"
4623,ENSG00000117697,"[212899495, 212965124]"
2964,ENSG00000212456,"[147994146, 147994313]"
1990,ENSG00000225605,"[76477009, 76485041]"
214,ENSG00000235054,"[4472111, 4484747]"
2265,ENSG00000233129,"[94400035, 94400800]"
3946,ENSG00000235750,"[175126123, 175162135]"
1624,ENSG00000266188,"[53400602, 53400689]"
4220,ENSG00000272579,"[193059996, 193060686]"
3128,ENSG00000159352,"[151227179, 151239955]"
3435,ENSG00000132702,"[156589086, 156595517]"
4109,ENSG00000270994,"[183678440, 183679375]"
4715,ENSG00000243872,"[220745085, 220745377]"
1094,ENSG00000222112,"[33802167, 33802465]"
3234,ENSG00000203783,"[153190060, 153191793]"
684,ENSG00000233431,"[21912965, 21917680]"
5284,ENSG00000177489,"[247751662, 247752615]"
1424,ENSG00000221707,"[45697890, 45697979]"
3113,ENSG00000200759,"[150995222, 150995328]"
2948,ENSG00000238107,"[147767287, 147769663]"
308,ENSG00000180758,"[9160364, 9189229]"
895,ENSG00000241547,"[27651820, 27652287]"
1016,ENSG00000268950,"[31902192, 31902614]"
3590,ENSG00000264286,"[160515438, 160515535]"
2973,ENSG00000234367,"[148349256, 148349657]"
2279,ENSG00000235565,"[95086707, 95089740]"
457,ENSG00000204488,"[13495254, 13498260]"
5178,ENSG00000264972,"[243061172, 243061255]"
3510,ENSG00000226949,"[158711936, 158713205]"
2498,ENSG00000235045,"[110193992, 110194721]"
383,ENSG00000116670,"[11734537, 11751707]"
3521,ENSG00000163568,"[159032274, 159116886]"
5136,ENSG00000180875,"[240652873, 240775449]"
5352,ENSG00000242529,"[248885294, 248885502]"
5343,ENSG00000184022,"[248756052, 248757100]"
5209,ENSG00000227735,"[244761693, 244761989]"
2704,ENSG00000235202,"[117838142, 117863958]"
4686,ENSG00000215817,"[219782859, 219786462]"
98,ENSG00000169972,"[1243947, 1247057]"
4745,ENSG00000154305,"[222791428, 222841354]"
2775,ENSG00000231429,"[121154579, 121171134]"
3975,ENSG00000254154,"[177897923, 178007142]"
1660,ENSG00000116212,"[54411750, 54433841]"
1586,ENSG00000117862,"[52485803, 52521843]"
507,ENSG00000162461,"[16062900, 16067891]"
1410,ENSG00000117425,"[45285516, 45308735]"
4596,ENSG00000143493,"[212113741, 212208884]"
4302,ENSG00000163362,"[200860176, 200884863]"
705,ENSG00000271840,"[22427106, 22427853]"
501,ENSG00000197312,"[15943995, 15995539]"
5215,ENSG00000273175,"[245028040, 245028574]"
3493,ENSG00000203758,"[158414858, 158415804]"
701,ENSG00000218510,"[22351681, 22357716]"
2594,ENSG00000235299,"[113168528, 113168846]"
840,ENSG00000236782,"[26496438, 26498312]"
44,ENSG00000224956,"[661611, 663527]"
1404,ENSG00000207421,"[45244062, 45244128]"
1907,ENSG00000024526,"[68939835, 68962904]"
574,ENSG00000117122,"[17300997, 17307330]"
1162,ENSG00000116883,"[36789335, 36794822]"
1973,ENSG00000224149,"[75595659, 75598261]"
4046,ENSG00000225857,"[180875787, 180878302]"
4405,ENSG00000257315,"[203765437, 203769686]"
3502,ENSG00000186440,"[158532441, 158533394]"
3056,ENSG00000203852,"[149824181, 149825836]"
420,ENSG00000157330,"[12806163, 12823847]"
3391,ENSG00000143622,"[155867599, 155881195]"
1412,ENSG00000226499,"[45309593, 45309754]"
1916,ENSG00000240692,"[70345275, 70345577]"
5054,ENSG00000234086,"[235472935, 235473313]"
2785,ENSG00000266657,"[142653525, 142653607]"
2010,ENSG00000251785,"[78080554, 78080637]"
5104,ENSG00000237250,"[238025475, 238091621]"
4387,ENSG00000133055,"[203136939, 203144941]"
580,ENSG00000204362,"[17516278, 17524112]"
694,ENSG00000263991,"[22313974, 22314268]"
1427,ENSG00000132773,"[45805342, 45809647]"
5261,ENSG00000188295,"[247263264, 247267674]"
2970,ENSG00000207501,"[148241465, 148241628]"
4632,ENSG00000174606,"[213165524, 213189168]"
1855,ENSG00000234144,"[65764438, 65764663]"
2456,ENSG00000162639,"[109190912, 109204148]"
2343,ENSG00000202254,"[100257218, 100257309]"
2687,ENSG00000211543,"[117214371, 117214449]"
717,ENSG00000216157,"[23075310, 23075404]"
4200,ENSG00000228215,"[191844625, 191980390]"
1587,ENSG00000198841,"[52497775, 52499488]"
2625,ENSG00000226167,"[114399257, 114443859]"
1915,ENSG00000270615,"[70072538, 70073984]"
1655,ENSG00000264454,"[54294465, 54294534]"
2388,ENSG00000170989,"[101702444, 101707074]"
5333,ENSG00000196240,"[248616077, 248617130]"
4098,ENSG00000058085,"[183155373, 183214035]"
1387,ENSG00000178028,"[44679127, 44686353]"
645,ENSG00000228105,"[20569588, 20571148]"
3748,ENSG00000234984,"[166635122, 166651433]"
2089,ENSG00000117151,"[85015289, 85040163]"
447,ENSG00000233394,"[13351482, 13354323]"
4147,ENSG00000143341,"[185703683, 186160085]"
1351,ENSG00000117399,"[43824626, 43828874]"
745,ENSG00000197880,"[23907985, 23967058]"
783,ENSG00000227312,"[24890118, 24890465]"
1497,ENSG00000237424,"[47897805, 47900313]"
1685,ENSG00000227453,"[55002469, 55003431]"
5293,ENSG00000241128,"[247886401, 247887345]"
1139,ENSG00000116819,"[36038971, 36060929]"
3218,ENSG00000224308,"[152902516, 152921686]"
1626,ENSG00000237279,"[53409208, 53409602]"
4294,ENSG00000162702,"[200374068, 200379184]"
4508,ENSG00000182795,"[207191866, 207206101]"
4400,ENSG00000058668,"[203595689, 203713209]"
1131,ENSG00000201542,"[35775875, 35776026]"
5323,ENSG00000228198,"[248366332, 248367392]"
1056,ENSG00000233775,"[32814795, 32816264]"
5111,ENSG00000230019,"[238271036, 238271867]"
2748,ENSG00000198857,"[120143963, 120151873]"
2319,ENSG00000232878,"[97561479, 97788511]"
1050,ENSG00000220785,"[32697259, 32707221]"
2397,ENSG00000252717,"[102325407, 102325513]"
3285,ENSG00000272654,"[153950219, 153951636]"
1206,ENSG00000183431,"[38422647, 38456593]"
1381,ENSG00000239275,"[44603514, 44604485]"
1064,ENSG00000254553,"[32930658, 33066393]"
141,ENSG00000231050,"[1822910, 1824097]"
4084,ENSG00000227181,"[182681997, 182683679]"
2697,ENSG00000134256,"[117544382, 117579167]"
1079,ENSG00000116514,"[33402046, 33430286]"
3401,ENSG00000116586,"[156024543, 156028301]"
3064,ENSG00000014914,"[149900543, 149908791]"
4933,ENSG00000237481,"[229455150, 229458834]"
4963,ENSG00000263779,"[230865626, 230865915]"
3554,ENSG00000213085,"[159842154, 159869953]"
4203,ENSG00000236792,"[192216635, 192217077]"
4914,ENSG00000202526,"[228772843, 228772961]"
3042,ENSG00000150337,"[149754227, 149764074]"
108,ENSG00000224870,"[1334902, 1337426]"
5,ENSG00000240361,"[62948, 63887]"
4149,ENSG00000116690,"[186265405, 186283694]"
136,ENSG00000268575,"[1634175, 1669127]"
1232,ENSG00000226438,"[39715510, 39723321]"
3318,ENSG00000229780,"[154526085, 154527493]"
2640,ENSG00000236480,"[115078616, 115080461]"
45,ENSG00000235373,"[677193, 685396]"
3558,ENSG00000085552,"[159896829, 159915386]"
3851,ENSG00000221390,"[171070869, 171070947]"
795,ENSG00000231953,"[25534630, 25535360]"
4012,ENSG00000261250,"[179512336, 179518057]"
588,ENSG00000179051,"[17733256, 17766220]"
1986,ENSG00000201487,"[76255162, 76255233]"
4560,ENSG00000203706,"[210404801, 210407392]"
1392,ENSG00000187147,"[44870866, 45117396]"
2366,ENSG00000223906,"[100810033, 100810798]"
4822,ENSG00000163041,"[226249552, 226259702]"
2300,ENSG00000233907,"[95940293, 95944912]"
1736,ENSG00000238773,"[58222756, 58222848]"
2403,ENSG00000234257,"[103565699, 103566260]"
4701,ENSG00000270585,"[220380960, 220381624]"
3747,ENSG00000215834,"[166572912, 166600637]"
592,ENSG00000236648,"[18044182, 18076473]"
4510,ENSG00000180667,"[207217194, 207226325]"
2851,ENSG00000272755,"[145018395, 145018959]"
5171,ENSG00000224525,"[242366857, 242374129]"
1914,ENSG00000033122,"[70034081, 70617628]"
348,ENSG00000251503,"[10490159, 10512210]"
1625,ENSG00000265815,"[53405986, 53406085]"
1831,ENSG00000207190,"[64494566, 64494672]"
1723,ENSG00000236776,"[57004124, 57004583]"
4269,ENSG00000207975,"[198828002, 198828111]"
2921,ENSG00000227139,"[147169914, 147171461]"
1596,ENSG00000236004,"[52655588, 52655981]"
1494,ENSG00000162368,"[47799469, 47844511]"
1126,ENSG00000116560,"[35641979, 35658749]"
1753,ENSG00000272226,"[59278480, 59279014]"
4916,ENSG00000201925,"[228777315, 228777433]"
1739,ENSG00000223416,"[58521805, 58522152]"
3289,ENSG00000231416,"[153968108, 153968436]"
3529,ENSG00000179639,"[159259504, 159278014]"
496,ENSG00000116771,"[15898848, 15911605]"
1242,ENSG00000163909,"[40089825, 40105617]"
3308,ENSG00000238365,"[154311219, 154311278]"
4708,ENSG00000260505,"[220574464, 220577375]"
3511,ENSG00000180433,"[158724510, 158725681]"
3153,ENSG00000178796,"[151682909, 151702281]"
4788,ENSG00000229742,"[224485348, 224486302]"
2750,ENSG00000092621,"[120202421, 120286838]"
3003,ENSG00000206737,"[149224058, 149224221]"
4805,ENSG00000154380,"[225674537, 225840844]"
503,ENSG00000271742,"[16009368, 16009623]"
2204,ENSG00000230667,"[92540090, 92540968]"
2527,ENSG00000273373,"[110912776, 110915625]"
367,ENSG00000230337,"[11159732, 11162157]"
2733,ENSG00000116882,"[119911402, 119936753]"
987,ENSG00000233399,"[30486799, 30510459]"
4735,ENSG00000212094,"[222186349, 222186432]"
440,ENSG00000233336,"[13146777, 13147256]"
4873,ENSG00000264944,"[228284964, 228285042]"
5097,ENSG00000226498,"[236982934, 236983818]"
4663,ENSG00000162814,"[217804666, 218045038]"
428,ENSG00000243073,"[12939045, 12946025]"
1545,ENSG00000202140,"[50965430, 50965529]"
5272,ENSG00000214144,"[247393242, 247395182]"
538,ENSG00000037637,"[16573334, 16678949]"
1995,ENSG00000226415,"[77165474, 77166223]"
4468,ENSG00000201944,"[205700349, 205700480]"
343,ENSG00000264501,"[10366523, 10366813]"
3650,ENSG00000225217,"[161576081, 161578007]"
5283,ENSG00000236817,"[247728941, 247804156]"
4057,ENSG00000237292,"[181143620, 181151344]"
4487,ENSG00000143466,"[206643791, 206670223]"
3737,ENSG00000267884,"[166026679, 166028709]"
4031,ENSG00000235145,"[179937821, 179938641]"
4157,ENSG00000273198,"[186490905, 186491436]"
1847,ENSG00000199135,"[65524117, 65524191]"
3300,ENSG00000252817,"[154226921, 154226997]"
4125,ENSG00000260976,"[184970659, 184977815]"
1081,ENSG00000217644,"[33445543, 33446073]"
4228,ENSG00000252241,"[193700988, 193701074]"
2644,ENSG00000242769,"[115240250, 115240545]"
555,ENSG00000186301,"[16972069, 16976914]"
729,ENSG00000206935,"[23489197, 23489303]"
1793,ENSG00000237227,"[62673808, 62674114]"
3833,ENSG00000224896,"[170084777, 170085717]"
2584,ENSG00000231437,"[112532392, 112541464]"
2038,ENSG00000235400,"[79214758, 79216344]"
2612,ENSG00000238198,"[113554309, 113615727]"
4636,ENSG00000221026,"[213783039, 213783183]"
554,ENSG00000215908,"[16944751, 16971178]"
4650,ENSG00000223869,"[215116466, 215116883]"
3480,ENSG00000226520,"[157995340, 158000956]"
933,ENSG00000228943,"[28436250, 28436809]"
5080,ENSG00000116962,"[236139130, 236228462]"
3663,ENSG00000162745,"[161952982, 161993644]"
4304,ENSG00000201032,"[200902473, 200902575]"
2427,ENSG00000233047,"[106470246, 106565834]"
1310,ENSG00000228776,"[42606306, 42607062]"
3857,ENSG00000206692,"[171223045, 171223161]"
1398,ENSG00000142945,"[45205490, 45233439]"
988,ENSG00000233372,"[30613110, 30614454]"
3228,ENSG00000203785,"[153065611, 153078660]"
2414,ENSG00000234441,"[104210693, 104210890]"
3765,ENSG00000272205,"[167189068, 167189749]"
2985,ENSG00000233586,"[148760506, 148761018]"
718,ENSG00000225952,"[23162206, 23163342]"
2345,ENSG00000231996,"[100308166, 100308317]"
5286,ENSG00000252394,"[247770428, 247770503]"
941,ENSG00000130770,"[28562620, 28573417]"
3419,ENSG00000163467,"[156307105, 156316786]"
2796,ENSG00000234978,"[142803224, 142816004]"
858,ENSG00000224129,"[26845845, 26846741]"
1937,ENSG00000207721,"[71533314, 71533399]"
1999,ENSG00000117069,"[77333126, 77531396]"
3112,ENSG00000143363,"[150980896, 151008189]"
4375,ENSG00000230280,"[202880940, 202881857]"
432,ENSG00000234064,"[12985990, 12988081]"
1375,ENSG00000230615,"[44501798, 44570647]"
1684,ENSG00000252646,"[54991059, 54991126]"
349,ENSG00000241563,"[10509776, 10511959]"
3160,ENSG00000232937,"[151738185, 151738865]"
1731,ENSG00000236341,"[57429559, 57462430]"
4921,ENSG00000234975,"[228823162, 228823574]"
4029,ENSG00000260360,"[179922319, 179923575]"
2805,ENSG00000231289,"[143243809, 143244859]"
434,ENSG00000250894,"[13012966, 13015755]"
3759,ENSG00000238325,"[167010672, 167010773]"
687,ENSG00000090686,"[22004791, 22110099]"
4889,ENSG00000270094,"[228581991, 228584668]"
763,ENSG00000230228,"[24275506, 24275873]"
2575,ENSG00000231346,"[112142277, 112151345]"
1865,ENSG00000223152,"[66560144, 66560229]"
3203,ENSG00000187173,"[152670840, 152671918]"
4713,ENSG00000231529,"[220658446, 220660385]"
4494,ENSG00000143479,"[206808881, 206857764]"
5166,ENSG00000224625,"[242220387, 242223544]"
1379,ENSG00000171872,"[44584522, 44600812]"
1634,ENSG00000157184,"[53662101, 53679869]"
248,ENSG00000204859,"[6640061, 6649340]"
4600,ENSG00000264358,"[212250955, 212251027]"
4338,ENSG00000238003,"[201947770, 201948077]"
3710,ENSG00000212086,"[164953139, 164953229]"
2290,ENSG00000152078,"[95582894, 95663163]"
1549,ENSG00000237130,"[51312140, 51312509]"
4119,ENSG00000230470,"[184377471, 184381494]"
2539,ENSG00000199710,"[111307030, 111307128]"
1328,ENSG00000117385,"[43212006, 43232755]"
4051,ENSG00000270711,"[180939973, 180940383]"
1117,ENSG00000116544,"[35331037, 35395186]"
344,ENSG00000265945,"[10450059, 10450353]"
2698,ENSG00000236137,"[117568104, 117602112]"
2846,ENSG00000255148,"[144858174, 144865800]"
3862,ENSG00000239428,"[171361368, 171361929]"
4306,ENSG00000229191,"[200993077, 200997920]"
5328,ENSG00000177174,"[248512077, 248513015]"
2068,ENSG00000230817,"[83368866, 83632498]"
1882,ENSG00000228523,"[67743735, 67744462]"
984,ENSG00000228176,"[30181698, 30182394]"
